Year,Event,Status,Attempts,LastAttempt,LastSuccess,NumDrivers,ErrorMessage
2022,Abu Dhabi Grand Prix,success,5,2025-12-03T05:40:45.141453,2025-12-03T05:40:46.444215,20,
2022,Australian Grand Prix,success,5,2025-12-03T05:40:18.643748,2025-12-03T05:40:19.984975,20,
2022,Austrian Grand Prix,success,5,2025-12-03T05:40:30.080160,2025-12-03T05:40:31.572073,20,
2022,Azerbaijan Grand Prix,success,5,2025-12-03T05:40:26.087353,2025-12-03T05:40:27.335805,20,
2022,Bahrain Grand Prix,success,5,2025-12-03T05:40:16.031484,2025-12-03T05:40:17.439702,20,
2022,Belgian Grand Prix,success,5,2025-12-03T05:40:34.415936,2025-12-03T05:40:35.551321,20,
2022,British Grand Prix,success,5,2025-12-03T05:40:28.823176,2025-12-03T05:40:30.078784,20,
2022,Canadian Grand Prix,success,5,2025-12-03T05:40:27.337137,2025-12-03T05:40:28.821798,20,
2022,Dutch Grand Prix,success,5,2025-12-03T05:40:35.552710,2025-12-03T05:40:37.216446,20,
2022,Emilia Romagna Grand Prix,success,5,2025-12-03T05:40:19.986410,2025-12-03T05:40:21.389551,20,
2022,French Grand Prix,success,5,2025-12-03T05:40:31.573551,2025-12-03T05:40:32.855151,20,
2022,Hungarian Grand Prix,success,5,2025-12-03T05:40:32.856634,2025-12-03T05:40:34.414510,20,
2022,Italian Grand Prix,success,5,2025-12-03T05:40:37.218108,2025-12-03T05:40:38.463498,20,
2022,Japanese Grand Prix,success,5,2025-12-03T05:40:39.903535,2025-12-03T05:40:40.818499,20,
2022,Mexico City Grand Prix,success,5,2025-12-03T05:40:42.179782,2025-12-03T05:40:43.632855,20,
2022,Miami Grand Prix,success,5,2025-12-03T05:40:21.391145,2025-12-03T05:40:22.792178,20,
2022,Monaco Grand Prix,success,5,2025-12-03T05:40:24.316706,2025-12-03T05:40:26.086063,20,
2022,Pre-Season Test,success,5,2025-12-03T05:40:14.660423,2025-12-03T05:40:16.030098,20,
2022,Pre-Season Track Session,success,6,2025-12-03T05:40:13.273531,2025-12-03T05:40:14.659007,20,
2022,Saudi Arabian Grand Prix,success,5,2025-12-03T05:40:17.441002,2025-12-03T05:40:18.642268,20,
2022,Singapore Grand Prix,success,5,2025-12-03T05:40:38.464873,2025-12-03T05:40:39.902088,20,
2022,Spanish Grand Prix,success,5,2025-12-03T05:40:22.793632,2025-12-03T05:40:24.314958,20,
2022,São Paulo Grand Prix,success,5,2025-12-03T05:40:43.634250,2025-12-03T05:40:45.140079,20,
2022,United States Grand Prix,success,5,2025-12-03T05:40:40.819832,2025-12-03T05:40:42.178466,20,
2023,Abu Dhabi Grand Prix,success,5,2025-12-03T05:41:16.882179,2025-12-03T05:41:18.260873,20,
2023,Australian Grand Prix,success,5,2025-12-03T05:40:49.720931,2025-12-03T05:40:51.396100,20,
2023,Austrian Grand Prix,success,5,2025-12-03T05:40:58.672992,2025-12-03T05:41:00.411048,20,
2023,Azerbaijan Grand Prix,success,5,2025-12-03T05:40:51.397662,2025-12-03T05:40:52.656124,20,
