DriverCode,DriverNumber,TeamName,GridPosition,Position,Status,Points,Year,EventName,CircuitName,RoundNumber,IsWetRace
SAI,55,Ferrari,1.0,1.0,Finished,25.0,2022,British Grand Prix,Silverstone,10,0
PER,11,Red Bull Racing,4.0,2.0,Finished,18.0,2022,British Grand Prix,Silverstone,10,0
HAM,44,Mercedes,5.0,3.0,Finished,16.0,2022,British Grand Prix,Silverstone,10,0
LEC,16,Ferrari,3.0,4.0,Finished,12.0,2022,British Grand Prix,Silverstone,10,0
ALO,14,Alpine,7.0,5.0,Finished,10.0,2022,British Grand Prix,Silverstone,10,0
NOR,4,McLaren,6.0,6.0,Finished,8.0,2022,British Grand Prix,Silverstone,10,0
VER,1,Red Bull Racing,2.0,7.0,Finished,6.0,2022,British Grand Prix,Silverstone,10,0
MSC,47,Haas F1 Team,19.0,8.0,Finished,4.0,2022,British Grand Prix,Silverstone,10,0
VET,5,Aston Martin,18.0,9.0,Finished,2.0,2022,British Grand Prix,Silverstone,10,0
MAG,20,Haas F1 Team,17.0,10.0,Finished,1.0,2022,British Grand Prix,Silverstone,10,0
STR,18,Aston Martin,20.0,11.0,Finished,0.0,2022,British Grand Prix,Silverstone,10,0
LAT,6,Williams,10.0,12.0,Finished,0.0,2022,British Grand Prix,Silverstone,10,0
RIC,3,McLaren,14.0,13.0,Finished,0.0,2022,British Grand Prix,Silverstone,10,0
TSU,22,AlphaTauri,13.0,14.0,Finished,0.0,2022,British Grand Prix,Silverstone,10,0
OCO,31,Alpine,15.0,15.0,Fuel pump,0.0,2022,British Grand Prix,Silverstone,10,0
GAS,10,AlphaTauri,11.0,16.0,Collision damage,0.0,2022,British Grand Prix,Silverstone,10,0
BOT,77,Alfa Romeo,12.0,17.0,Gearbox,0.0,2022,British Grand Prix,Silverstone,10,0
RUS,63,Mercedes,8.0,18.0,Collision,0.0,2022,British Grand Prix,Silverstone,10,0
ZHO,24,Alfa Romeo,9.0,19.0,Collision,0.0,2022,British Grand Prix,Silverstone,10,0
ALB,23,Williams,16.0,20.0,Collision,0.0,2022,British Grand Prix,Silverstone,10,0
VER,1,Red Bull Racing,2.0,1.0,Finished,25.0,2022,United States Grand Prix,Austin,19,0
HAM,44,Mercedes,3.0,2.0,Finished,18.0,2022,United States Grand Prix,Austin,19,0
LEC,16,Ferrari,12.0,3.0,Finished,15.0,2022,United States Grand Prix,Austin,19,0
PER,11,Red Bull Racing,9.0,4.0,Finished,12.0,2022,United States Grand Prix,Austin,19,0
RUS,63,Mercedes,4.0,5.0,Finished,11.0,2022,United States Grand Prix,Austin,19,0
NOR,4,McLaren,6.0,6.0,Finished,8.0,2022,United States Grand Prix,Austin,19,0
ALO,14,Alpine,14.0,7.0,Finished,6.0,2022,United States Grand Prix,Austin,19,0
VET,5,Aston Martin,10.0,8.0,Finished,4.0,2022,United States Grand Prix,Austin,19,0
MAG,20,Haas F1 Team,13.0,9.0,Finished,2.0,2022,United States Grand Prix,Austin,19,0
TSU,22,AlphaTauri,19.0,10.0,Finished,1.0,2022,United States Grand Prix,Austin,19,0
OCO,31,Alpine,,11.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
ZHO,24,Alfa Romeo,18.0,12.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
ALB,23,Williams,8.0,13.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
GAS,10,AlphaTauri,11.0,14.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
MSC,47,Haas F1 Team,16.0,15.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
RIC,3,McLaren,15.0,16.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
LAT,6,Williams,17.0,17.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
STR,18,Aston Martin,5.0,18.0,Collision,0.0,2022,United States Grand Prix,Austin,19,0
BOT,77,Alfa Romeo,7.0,19.0,Spun off,0.0,2022,United States Grand Prix,Austin,19,0
SAI,55,Ferrari,1.0,20.0,Collision damage,0.0,2022,United States Grand Prix,Austin,19,0
LEC,16,Ferrari,1.0,1.0,Finished,26.0,2022,Bahrain Grand Prix,Sakhir,1,0
SAI,55,Ferrari,3.0,2.0,Finished,18.0,2022,Bahrain Grand Prix,Sakhir,1,0
HAM,44,Mercedes,5.0,3.0,Finished,15.0,2022,Bahrain Grand Prix,Sakhir,1,0
RUS,63,Mercedes,9.0,4.0,Finished,12.0,2022,Bahrain Grand Prix,Sakhir,1,0
MAG,20,Haas F1 Team,7.0,5.0,Finished,10.0,2022,Bahrain Grand Prix,Sakhir,1,0
BOT,77,Alfa Romeo,6.0,6.0,Finished,8.0,2022,Bahrain Grand Prix,Sakhir,1,0
OCO,31,Alpine,11.0,7.0,Finished,6.0,2022,Bahrain Grand Prix,Sakhir,1,0
TSU,22,AlphaTauri,16.0,8.0,Finished,4.0,2022,Bahrain Grand Prix,Sakhir,1,0
ALO,14,Alpine,8.0,9.0,Finished,2.0,2022,Bahrain Grand Prix,Sakhir,1,0
ZHO,24,Alfa Romeo,15.0,10.0,Finished,1.0,2022,Bahrain Grand Prix,Sakhir,1,0
MSC,47,Haas F1 Team,12.0,11.0,Finished,0.0,2022,Bahrain Grand Prix,Sakhir,1,0
STR,18,Aston Martin,19.0,12.0,Finished,0.0,2022,Bahrain Grand Prix,Sakhir,1,0
ALB,23,Williams,14.0,13.0,Finished,0.0,2022,Bahrain Grand Prix,Sakhir,1,0
RIC,3,McLaren,18.0,14.0,Finished,0.0,2022,Bahrain Grand Prix,Sakhir,1,0
NOR,4,McLaren,13.0,15.0,Finished,0.0,2022,Bahrain Grand Prix,Sakhir,1,0
LAT,6,Williams,20.0,16.0,Finished,0.0,2022,Bahrain Grand Prix,Sakhir,1,0
HUL,27,Aston Martin,17.0,17.0,Finished,0.0,2022,Bahrain Grand Prix,Sakhir,1,0
PER,11,Red Bull Racing,4.0,18.0,Fuel pressure,0.0,2022,Bahrain Grand Prix,Sakhir,1,0
